mRNA	logFC	FDR	Short	Long	Delta	InLibrary
PHGR1	-1.8994974734405454	0.21538573031893216	79.67948717948718	22.24074074074074	151.35098458247424	No
FRMPD1	-1.5982920114676	6.981980683686979e-4	91.53846153846153	26.944444444444443	146.3051918189572	No
ACADL	-1.467363059233829	0.2738100023025166	98.84615384615384	35.77777777777778	145.04319470119	Yes
DSCR8	-1.8386991813797646	0.4258965210690006	74	27.72222222222222	136.06373942210257	Yes
TCHH	-1.17389102553656	0.016899285619140152	107.26923076923077	55.18518518518518	125.92238731621023	No
SYN1	-1.0905063325797184	0.013185797385946394	115.26923076923077	50.55555555555556	125.70182610543908	No
NNAT	-1.077311406578482	0.10921495802890095	108.76923076923077	41.25925925925926	117.1783329924595	Yes
FLG	-1.5039328069918538	0.0017989004778300734	71.07692307692308	26.944444444444443	106.894916435421	Yes
BMP3	-1.3832504263331038	0.32653192550377147	71.57692307692308	27.074074074074073	99.00880936176563	Yes
GPR115	-1.2436542070080217	0.08069063546443807	79.32051282051282	36.25925925925926	98.64728947126449	Yes
GCNT3	-1.3380135946466052	0.1455086101208066	70.74358974358974	37.96296296296296	94.65588481102522	Yes
BDNF	-1.2153676600338155	0.1311776583039844	77.5	27.59259259259259	94.1909936526207	Yes
CAPSL	-1.303166910405496	0.1534734842416335	72.15384615384616	34.851851851851855	94.02850476618117	Yes
