Gene	Long_Over3Years	Short_Under3Years	estimate1	estimate2	statistic	p.value	parameter	conf.low	conf.high	method	alternative
EZH1	4	7	0.07407407407407407	0.08860759493670886	1.8027815450601e-30	0.9999999999999989	1	-0.12290742973908533	0.09384038801381575	2-sample test for equality of proportions with continuity correction	two.sided
EZH2	1	1	0.018518518518518517	0.012658227848101266	6.277223582924639e-31	0.9999999999999993	1	-0.043597078903458326	0.055317660244292834	2-sample test for equality of proportions with continuity correction	two.sided
EZR	0	1	0	0.012658227848101266	1.721169655159561e-30	0.999999999999999	1	-0.04996860307530535	0.024652147379102825	2-sample test for equality of proportions with continuity correction	two.sided
F10	2	1	0.037037037037037035	0.012658227848101266	0.11241615276425396	0.7374099711030879	1	-0.04728888839826689	0.09604650677613844	2-sample test for equality of proportions with continuity correction	two.sided
F11	0	2	0	0.02531645569620253	0.2049395092744693	0.6507630143160292	1	-0.07554402578235331	0.024911114389948242	2-sample test for equality of proportions with continuity correction	two.sided
F11R	8	12	0.14814814814814814	0.1518987341772152	5.83147411837113e-31	0.9999999999999994	1	-0.13095937593943294	0.12345820388129883	2-sample test for equality of proportions with continuity correction	two.sided
F12	0	2	0	0.02531645569620253	0.2049395092744693	0.6507630143160292	1	-0.07554402578235331	0.024911114389948242	2-sample test for equality of proportions with continuity correction	two.sided
F13A1	3	2	0.05555555555555555	0.02531645569620253	0.19028775858532596	0.6626772264178555	1	-0.05558053397134807	0.11605873369005412	2-sample test for equality of proportions with continuity correction	two.sided
F13B	4	8	0.07407407407407407	0.10126582278481013	0.05261075949367089	0.8185810757142616	1	-0.13924082550897343	0.08485732808750131	2-sample test for equality of proportions with continuity correction	two.sided
F2RL3	1	1	0.018518518518518517	0.012658227848101266	6.277223582924639e-31	0.9999999999999993	1	-0.043597078903458326	0.055317660244292834	2-sample test for equality of proportions with continuity correction	two.sided
F3	1	3	0.018518518518518517	0.0379746835443038	0.01644935891145784	0.8979471328738741	1	-0.09044682781459515	0.05153449776302458	2-sample test for equality of proportions with continuity correction	two.sided
F5	5	9	0.09259259259259259	0.11392405063291139	0.011232798323267425	0.915594335395338	1	-0.14125364201213886	0.09859072593150126	2-sample test for equality of proportions with continuity correction	two.sided
F7	2	1	0.037037037037037035	0.012658227848101266	0.11241615276425396	0.7374099711030879	1	-0.04728888839826689	0.09604650677613844	2-sample test for equality of proportions with continuity correction	two.sided
