Gene	Long_Over3Years	Short_Under3Years	estimate1	estimate2	statistic	p.value	parameter	conf.low	conf.high	method	alternative	fdr
NARS2	6	9	0.111111111	0.113924051	1.74E-30	0.5	1	-1	0.091681652	2-sample test for equality of proportions with continuity correction	less	0.645660657
NAV1	6	10	0.111111111	0.126582278	4.56E-31	0.5	1	-1	0.093460014	2-sample test for equality of proportions with continuity correction	less	0.645660657
NBN	10	15	0.185185185	0.189873418	5.68E-32	0.5	1	-1	0.113261008	2-sample test for equality of proportions with continuity correction	less	0.645660657
NCBP2	4	6	0.074074074	0.075949367	5.87E-31	0.5	1	-1	0.07641933	2-sample test for equality of proportions with continuity correction	less	0.645660657
NCEH1	4	7	0.074074074	0.088607595	1.80E-30	0.5	1	-1	0.078753336	2-sample test for equality of proportions with continuity correction	less	0.645660657
NCF2	6	10	0.111111111	0.126582278	4.56E-31	0.5	1	-1	0.093460014	2-sample test for equality of proportions with continuity correction	less	0.645660657
NDUFC2	6	10	0.111111111	0.126582278	4.56E-31	0.5	1	-1	0.093460014	2-sample test for equality of proportions with continuity correction	less	0.645660657
NEDD9	4	6	0.074074074	0.075949367	5.87E-31	0.5	1	-1	0.07641933	2-sample test for equality of proportions with continuity correction	less	0.645660657
NEK7	6	10	0.111111111	0.126582278	4.56E-31	0.5	1	-1	0.093460014	2-sample test for equality of proportions with continuity correction	less	0.645660657
NIT1	8	12	0.148148148	0.151898734	5.83E-31	0.5	1	-1	0.103609391	2-sample test for equality of proportions with continuity correction	less	0.645660657
NMNAT2	6	10	0.111111111	0.126582278	4.56E-31	0.5	1	-1	0.093460014	2-sample test for equality of proportions with continuity correction	less	0.645660657
NOL7	3	5	0.055555556	0.063291139	1.61E-31	0.5	1	-1	0.068258421	2-sample test for equality of proportions with continuity correction	less	0.645660657
NOS2P3	3	5	0.055555556	0.063291139	1.61E-31	0.5	1	-1	0.068258421	2-sample test for equality of proportions with continuity correction	less	0.645660657
NPEPPS	7	11	0.12962963	0.139240506	6.22E-31	0.5	1	-1	0.098780107	2-sample test for equality of proportions with continuity correction	less	0.645660657
NPHS2	5	8	0.092592593	0.101265823	9.98E-32	0.5	1	-1	0.085594837	2-sample test for equality of proportions with continuity correction	less	0.645660657
NPLOC4	8	12	0.148148148	0.151898734	5.83E-31	0.5	1	-1	0.103609391	2-sample test for equality of proportions with continuity correction	less	0.645660657
NPTX1	8	12	0.148148148	0.151898734	5.83E-31	0.5	1	-1	0.103609391	2-sample test for equality of proportions with continuity correction	less	0.645660657
NRBP2	12	18	0.222222222	0.227848101	6.15E-31	0.5	1	-1	0.121181581	2-sample test for equality of proportions with continuity correction	less	0.645660657
NRROS	4	6	0.074074074	0.075949367	5.87E-31	0.5	1	-1	0.07641933	2-sample test for equality of proportions with continuity correction	less	0.645660657
NUF2	6	10	0.111111111	0.126582278	4.56E-31	0.5	1	-1	0.093460014	2-sample test for equality of proportions with continuity correction	less	0.645660657
OPLAH	12	18	0.222222222	0.227848101	6.15E-31	0.5	1	-1	0.121181581	2-sample test for equality of proportions with continuity correction	less	0.645660657
