Gene	Long_Over3Years	Short_Under3Years	estimate1	estimate2	statistic	p.value	parameter	conf.low	conf.high	method	alternative
TEAD1	0	1	0	0.012658227848101266	1.721169655159561e-30	0.4999999999999995	1	-1	0.02068873425660176	2-sample test for equality of proportions with continuity correction	less
TEAD2	1	4	0.018518518518518517	0.05063291139240506	0.24211909941983112	0.31133988076927654	1	-1	0.03403968102631665	2-sample test for equality of proportions with continuity correction	less
TEAD3	0	1	0	0.012658227848101266	1.721169655159561e-30	0.4999999999999995	1	-1	0.02068873425660176	2-sample test for equality of proportions with continuity correction	less
TEC	0	1	0	0.012658227848101266	1.721169655159561e-30	0.4999999999999995	1	-1	0.02068873425660176	2-sample test for equality of proportions with continuity correction	less
TECPR1	1	1	0.018518518518518517	0.012658227848101266	6.277223582924639e-31	0.5000000000000003	1	-1	0.04830840332352841	2-sample test for equality of proportions with continuity correction	less
TECPR2	1	1	0.018518518518518517	0.012658227848101266	6.277223582924639e-31	0.5000000000000003	1	-1	0.04830840332352841	2-sample test for equality of proportions with continuity correction	less
TECR	1	1	0.018518518518518517	0.012658227848101266	6.277223582924639e-31	0.5000000000000003	1	-1	0.04830840332352841	2-sample test for equality of proportions with continuity correction	less
TECTA	0	1	0	0.012658227848101266	1.721169655159561e-30	0.4999999999999995	1	-1	0.02068873425660176	2-sample test for equality of proportions with continuity correction	less
TEDDM1	5	9	0.09259259259259259	0.11392405063291139	0.011232798323267425	0.4577971676976689	1	-1	0.08181660932248505	2-sample test for equality of proportions with continuity correction	less
TEFM	9	12	0.16666666666666666	0.1518987341772152	2.5731296880398178e-31	0.5000000000000002	1	-1	0.13616906411860077	2-sample test for equality of proportions with continuity correction	less
TEK	2	3	0.037037037037037035	0.0379746835443038	1.925412687321595e-30	0.49999999999999944	1	-1	0.055118710943812405	2-sample test for equality of proportions with continuity correction	less
TEKT2	0	2	0	0.02531645569620253	0.2049395092744693	0.3253815071580146	1	-1	0.01934204791284307	2-sample test for equality of proportions with continuity correction	less
TEKT4	2	1	0.037037037037037035	0.012658227848101266	0.11241615276425396	0.631295014448456	1	-1	0.08703043499848091	2-sample test for equality of proportions with continuity correction	less
TEKT4P2	1	1	0.018518518518518517	0.012658227848101266	6.277223582924639e-31	0.5000000000000003	1	-1	0.04830840332352841	2-sample test for equality of proportions with continuity correction	less
TEKT5	4	4	0.07407407407407407	0.05063291139240506	0.03498810360993902	0.5741897051424563	1	-1	0.1103221813064312	2-sample test for equality of proportions with continuity correction	less
TELO2	4	2	0.07407407407407407	0.02531645569620253	0.8191976508386519	0.8172925708357771	1	-1	0.12977892425043586	2-sample test for equality of proportions with continuity correction	less
TEN1	8	14	0.14814814814814814	0.17721518987341772	0.042210531398295045	0.4186094915274259	1	-1	0.09290074266977602	2-sample test for equality of proportions with continuity correction	less
TENM1	1	1	0.018518518518518517	0.012658227848101266	6.277223582924639e-31	0.5000000000000003	1	-1	0.04830840332352841	2-sample test for equality of proportions with continuity correction	less
