mRNA	logFC	FDR	Short	Long	Delta
CELF4|56853	-1.115354124790645	0.013066288772231437	47.87179487179487	21.27777777777778	53.39400387138806
LOC100216001|100216001	-2.362436507424717	6.667776307930544e-5	22.44871794871795	4.592592592592593	53.03367082693179
CDH10|1008	3.94140643193738	0.001043116448774309	13.294871794871796	193.27777777777777	52.40049320409055
C2orf39|92749	-1.789795805138709	0.028580684421085908	29.243589743589745	12.444444444444445	52.3400542502743
MIA2|117153	-3.6408095660993767	0.004207448027014967	14.346153846153847	0.9259259259259259	52.23161415981029
CDH19|28513	3.1423032225317	0.005658023920913355	16.55128205128205	126.46296296296296	52.00914692677467
GPR179|440435	1.2954620958123608	0.021293523000603908	39.98717948717949	78.51851851851852	51.80187534408658
UGT2B7|7364	2.925242725926427	2.9770181024948593e-4	17.67948717948718	106.35185185185185	51.71679126990439
KRT39|390792	-3.0049060369402856	0.0044839438363183624	17.17948717948718	2.240740740740741	51.62274473717926
TUBA4B|80086	-2.3850497029177924	0.019112418844082726	21.641025641025642	5.7407407407407405	51.61492177596453
ARHGAP36|158763	3.2962276126005166	7.116250749607862e-4	15.615384615384615	190.12962962962962	51.471861950608066
GYS2|2998	-3.459181156398462	5.5798736150676404e-5	14.76923076923077	1.2962962962962963	51.08944477142344
KLK13|26085	2.3275433639547165	0.0012758037588919253	21.807692307692307	87.57407407407408	50.75834951393555
C12orf69|440087	2.350769804343263	5.944658202408536e-8	21.166666666666668	89.5	49.75796085859908
C2orf78|388960	-4.587317421501748	0.017906430781060603	10.833333333333334	0.3888888888888889	49.6959387329356
CD300LB|124599	1.1441447269479113	0.0013593715319024783	43.282051282051285	108.72222222222223	49.52093074584806
SEC14L3|266629	-5.33696927838795	0.0017160744447751307	9.128205128205128	0.05555555555555555	48.716950336054104
ODF3L2|284451	-2.6667476730677073	3.3002687857542776e-5	18.23076923076923	3.425925925925926	48.6168614243882
WNT3A|89780	-1.805225851052154	0.0015138075978493918	26.576923076923077	8.666666666666666	47.97734857988609
RORB|6096	1.3400076643360759	0.02328694296945233	35.46153846153846	85.0925925925926	47.51873332761007
LEFTY2|7044	2.092566132726377	1.8222153459084727e-4	22.67948717948718	85.46296296296296	47.458326779396934
SLC26A9|115019	1.8855313696379414	0.008764676362643727	25.102564102564102	127.07407407407408	47.331672073731916
BCAN|63827	2.4675454124321825	2.7910553602660607e-7	19.166666666666668	84.77777777777777	47.294620404950166
PSORS1C2|170680	3.1298426665984413	8.997080507137155e-7	14.846153846153847	240.3148148148148	46.466125742576864
SHH|6469	-2.757912768496619	0.007376831417193278	16.76923076923077	1.6296296296296295	46.24807565632792
CCDC153|283152	-1.0523695563367639	0.005047106141087459	43.294871794871796	21.62962962962963	45.562205022426305
TMEM95|339168	-5.799656064346354	0.007603942247310289	7.641025641025641	0.018518518518518517	44.31532069680035
LPO|4025	-1.6703195549585383	0.03453855952810723	25.78205128205128	8.166666666666666	43.06426442335411
AKAP14|158798	-2.6227451773837744	0.024939722584141028	16.371794871794872	3.5185185185185186	42.93904604511641
KCNS1|3787	1.5243954391302912	0.013077126517021838	27.935897435897434	71.4074074074074	42.58535463929365
KLK14|43847	3.6269860097722275	3.8988292786294996e-11	11.692307692307692	139.33333333333334	42.4078364219522
KRT40|125115	-1.5245646739590681	0.031877743546647595	27.46153846153846	8.148148148148149	41.86689143102979
SUN3|256979	-5.060911707176641	4.4283810103308834e-4	8.256410256410257	0.2962962962962963	41.78496332591996
BPI|671	2.656281321556494	7.845192629599847e-4	15.602564102564102	95.66666666666667	41.444799594028886
LOC100130933|100130933	-2.0153437754263006	0.005471046554113132	20.256410256410255	6.703703703703703	40.823630322737884
MC5R|4161	-2.243630632636121	0.0025762608831347397	17.884615384615383	3.740740740740741	40.12647092983831
TLX1|3195	2.1237909264477994	0.004894808591673219	18.82051282051282	85.16666666666667	39.97083435929961
CXCL5|6374	2.4526853721052064	4.8974562191118226e-6	16.05128205128205	85.4074074074074	39.36874469071434
ENDOU|8909	-1.459114165543136	0.005840608931678916	26.756410256410255	10.074074074074074	39.040657224211856
SUCNR1|56670	1.3307300918584317	5.375071056376251e-4	29.333333333333332	84.27777777777777	39.034749361180666
CPB2|1361	2.155974334242213	0.04575308280491742	18.076923076923077	70.0925925925926	38.973382195916926
GBP6|163351	1.1516727309710644	0.003932101118076637	33.19230769230769	71.42592592592592	38.22667564723187
CABP7|164633	2.1305405416541716	3.32078591078882e-8	17.883076923076924	73.98666666666666	38.100620394135525
C16orf73|254528	-2.517671874651164	5.576724652652913e-4	15.017820512820514	2.821296296296296	37.809944323687525
NCAN|1463	8.534383699182381	2.0960162330652666e-21	4.397435897435898	1149.3333333333333	37.52940524127637
CLDN10|9071	-1.433312595967501	0.03375243816855492	25.820897435897436	6.654444444444445	37.009417534056745
KCNJ16|3773	4.117636513782346	3.125091171162866e-10	8.961538461538462	184.33333333333334	36.900357988895635
CDH18|1016	-2.698149778086803	0.006559077385917994	13.615384615384615	2.1296296296296298	36.736346978566466
